LOB,TargetSystem,TargetTableName,TargetTableType,SourceSystem,SourceTableName,SourceWatermarkColumn,SourceWatermarkValue,SourceColumns,SourceFilter,RawSourceSystem,Enabled,LoadType,LoadSequence,Status,Comment,InsertedDate,InsertedBy,ModifiedDate,ModifiedBy,Id
Marketing,ADS Azure SQL Database,dbo.DimDigitalChannel,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalChannel,entity_modified_on,2021-05-06 00:18:50.000,"DISTINCT ChannelSource, ChannelMedium, ChannelCampaign",NULL,Google Analytics,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 14:58:19.147,bdc-sqlusr-d-dlake-dbrick-ads001,1
Marketing,ADS Azure SQL Database,dbo.FactWebPageEvent,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebPageEvent,entity_event_date,2021-05-03,*,NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-18 15:12:01.110,Henry.Agoro@bdc.ca,2021-05-19 14:50:36.383,bdc-sqlusr-d-dlake-dbrick-ads001,64
Marketing,ADS Azure SQL Database,dbo.FactDigitalTouchpoint,Fact,ADS Azure SQL Database,dbo.FactWebAd,AdDateKey,20210503,"AdDateKey TouchpointDateKey, NULL TouchpointTimeKey, 'dbo.FactWebAd' TouchpointSourceTableName, WebAdKey TouchpointRowKey, 'AdCost' MetricName1, DigitalTouchpointMetadataKey, AdCost MetricValue1, AdClickCount MetricValue2, AdImpressionCount MetricValue3, AdSecondsOnPage MetricValue4, NULL MetricValue5",NULL,Google Analytics,1,Upsert,2,Succeeded,NULL,2021-05-19 22:12:11.517,Henry.Agoro@bdc.ca,2021-05-20 00:01:08.933,bdc-sqlusr-d-dlake-dbrick-ads001,65
Marketing,ADS Azure SQL Database,dbo.FactDigitalTouchpoint,Fact,ADS Azure SQL Database,dbo.FactWebPageEvent,PageEventDateKey,20210503,"PageEventDateKey TouchpointDateKey, PageEventTimeKey TouchpointTimeKey, 'dbo.FactWebPageEvent' TouchpointSourceTableName, PageEventKey TouchpointRowKey, 'EventCount' MetricName1, DigitalTouchpointMetadataKey, EventCount MetricValue1, EventUniqueCount MetricValue2, NULL MetricValue3, NULL MetricValue4, NULL MetricValue5",NULL,Google Analytics,1,Upsert,3,Succeeded,NULL,2021-05-19 22:12:11.517,Henry.Agoro@bdc.ca,2021-05-20 00:40:24.867,bdc-sqlusr-d-dlake-dbrick-ads001,66
Marketing,ADS Azure SQL Database,dbo.FactDigitalTouchpoint,Fact,ADS Azure SQL Database,dbo.FactWebPageVisit,VisitDateKey,20210503,"VisitDateKey TouchpointDateKey, VisitTimeKey TouchpointTimeKey, 'dbo.FactWebPageVisit' TouchpointSourceTableName, WebPageVisitKey TouchpointRowKey, 'VisitSessionCount' MetricName1, DigitalTouchpointMetadataKey, VisitSessionCount MetricValue1, VisitSessionDurationSeconds MetricValue2, VisitBouncesCount MetricValue3, NULL MetricValue4, NULL MetricValue5",NULL,Google Analytics,1,Upsert,4,Succeeded,NULL,2021-05-19 22:12:11.517,Henry.Agoro@bdc.ca,2021-05-20 01:09:47.300,bdc-sqlusr-d-dlake-dbrick-ads001,67
Marketing,ADS Azure SQL Database,dbo.FactDigitalTouchpoint,Fact,ADS Azure SQL Database,dbo.FactWebPageView,PageViewDateKey,20210503,"PageViewDateKey TouchpointDateKey, PageViewTimeKey TouchpointTimeKey, 'dbo.FactWebPageView' TouchpointSourceTableName, WebPageViewKey TouchpointRowKey, 'PageViewEntrances' MetricName1, DigitalTouchpointMetadataKey, PageViewEntrances MetricValue1, PageViewExits MetricValue2, PageViewCount MetricValue3, PageViewUniqueCount MetricValue4, NULL MetricValue5",NULL,Google Analytics,1,Upsert,5,Succeeded,NULL,2021-05-19 22:12:11.517,Henry.Agoro@bdc.ca,2021-05-20 02:27:39.330,bdc-sqlusr-d-dlake-dbrick-ads001,68
Marketing,ADS Azure SQL Database,dbo.FactDigitalTouchpoint,Fact,ADS Azure SQL Database,dbo.FactWebGoal,WebGoalDateKey,20210503,"WebGoalDateKey TouchpointDateKey, WebGoalTimeKey TouchpointTimeKey, 'dbo.FactWebGoal' TouchpointSourceTableName, WebGoalKey TouchpointRowKey, 'GoalStartsValue' MetricName1, DigitalTouchpointMetadataKey,  GoalStartsValue MetricValue1, GoalCompletionsValue MetricValue2, NULL MetricValue3, NULL MetricValue4, NULL MetricValue5",NULL,Google Analytics,1,Upsert,6,Succeeded,NULL,2021-05-19 22:12:11.517,Henry.Agoro@bdc.ca,2021-05-20 02:37:42.267,bdc-sqlusr-d-dlake-dbrick-ads001,69
Marketing,ADS Azure SQL Database,dbo.DimDigitalDeviceCategory,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalDeviceCategory,entity_event_date,2021-05-03,DISTINCT DeviceCategoryName,NULL,Google Analytics,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:00:06.447,bdc-sqlusr-d-dlake-dbrick-ads001,8
Marketing,ADS Azure SQL Database,dbo.DimDigitalTouchpointMetadata,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalTouchpointMetadata,entity_event_date,2021-05-03,"DISTINCT source, medium, campaign, TouchpointAccountId, TouchpointProfileId, TouchpointSegment, DigitalDeviceCategory,  TouchpointCityId",NULL,Google Analytics,0,SCD1,8,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:41:11.747,bdc-sqlusr-d-dlake-dbrick-ads001,11
Marketing,ADS Azure SQL Database,dbo.DimWebAdInfo,Dimension,ODS Azure SQL Database,dbo.vwAMADimWebAdInfo,entity_event_date,2021-05-03,"DISTINCT AdContent, adKeyword",NULL,Google Analytics,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:01:47.383,bdc-sqlusr-d-dlake-dbrick-ads001,17
Marketing,ADS Azure SQL Database,dbo.DimWebPage,Dimension,ODS Azure SQL Database,dbo.vwAMADimWebPage,entity_modified_on,2021-05-06 00:19:41.000,"DISTINCT WebPageHash, hostname, pagePath",NULL,Google Analytics,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:17:56.263,bdc-sqlusr-d-dlake-dbrick-ads001,18
Marketing,ADS Azure SQL Database,dbo.DimWebPageEventInfo,Dimension,ODS Azure SQL Database,dbo.vwAMADimWebPageEventInfo,entity_event_date,2021-05-03,"DISTINCT WebPageEventInfoHash, EventEntityType, eventCategory, eventAction, eventLabel, EventContainer",NULL,Google Analytics,0,SCD1,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:19:27.030,bdc-sqlusr-d-dlake-dbrick-ads001,25
Marketing,ADS Azure SQL Database,dbo.DimDigitalChannelGroup,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalChannelGroup,NULL,NULL,"source, medium, campaign",NULL,Google Analytics,0,Static,NULL,NULL,Predefined in the function fn_GetChannelGroupName,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,27
Marketing,ADS Azure SQL Database,dbo.DimDigitalMetricGroup,Dimension,ODS Azure SQL Database,"dbo.GaBimGoalsEntity, dbo.EloquaExpressConsentsEntity, dbo.EloquaVBCEntity",NULL,NULL,"source, medium and campain from the GA entity, all metric fields from the two Eloqua entities",NULL,Google Analytics,0,Static,NULL,NULL,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,28
Marketing,ADS Azure SQL Database,dbo.DimDigitalMetricInfo,Dimension,ODS Azure SQL Database,"dbo.GaBimGoalsEntity, dbo.EloquaExpressConsentsEntity, dbo.EloquaVBCEntity",NULL,NULL,"goalNumber from the Ga entity, all metric fields from the two Eloqua entities",NULL,"Google Analytics, Eloqua",0,Static,NULL,NULL,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,29
Marketing,ADS Azure SQL Database,dbo.DimDigitalTouchpointGroup,Dimension,ODS Azure SQL Database,"dbo.FactWebGoal, dbo.FactWebPageEvent, dbo.FactWebPageView, dbo.FactWebPageVisit, dbo.FactWebAd, dbo.FactWebSearch, dbo.FactEmailsSent",NULL,NULL,NULL,NULL,"Google Analytics, Eloqua, Google Search Console, Custom files",0,Static,NULL,NULL,All related fact tables in ADS; Predefined groups by Matthieu ROY,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,30
Marketing,ADS Azure SQL Database,dbo.DimDigitalTouchpointMetrics,Dimension,ODS Azure SQL Database,"dbo.FactWebGoal, dbo.FactWebPageEvent, dbo.FactWebPageView, dbo.FactWebPageVisit, dbo.FactWebAd, dbo.FactWebSearch, dbo.FactEmailsSent",NULL,NULL,Metric columns from each source fact table,NULL,"Google Analytics, Eloqua, Google Search Console, Custom files",0,Static,NULL,NULL,All related fact tables in ADS,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,31
Marketing,ADS Azure SQL Database,dbo.DimWebPageParameterGroup,Dimension,ODS Azure SQL Database,dbo.GaBimPageViews,NULL,NULL,pagePath,NULL,Google Analytics,0,Static,NULL,NULL,Predefined groups,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-12 17:19:41.880,bdc-sp-y-core-AzDevOpsDeploy,32
Marketing,ADS Azure SQL Database,dbo.DimDigitalCityMapping,Dimension,ODS Azure SQL Database,dbo.vwAMADimDigitalCityMapping,entity_modified_on,2021-05-06 00:38:45.000,"DISTINCT DigitalCityMappingKey, CityName, ProvinceName",NULL,Google Analytics,0,SCD1,2,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:36:57.003,bdc-sqlusr-d-dlake-dbrick-ads001,33
Marketing,ADS Azure SQL Database,dbo.FactWebAd,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebAd,entity_event_date,2021-05-03,"Id,entity_event_date, source, medium, campaign, accountID, profileID, /*segment,*/ AdContent, AdKeyword, AdCost, AdClickCount, AdImpressionCount, AdSecondsOnPage",NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-17 15:48:39.190,bdc-sqlusr-d-dlake-dbrick-ads001,37
Marketing,ADS Azure SQL Database,dbo.FactWebGoal,Fact,ODS Azure SQL Database,dbo.vwAMAFactWebGoal,entity_event_date,2021-05-03,"Id,entity_event_date, TimeKey, hostname, landingPagePath, source, medium, campaign, accountID, profileID, /*segment,*/ deviceCategory, cityid, goalNumber, goalStarts, goalCompletions",NULL,Google Analytics,0,Upsert,1,Succeeded,NULL,2021-05-12 17:03:21.867,Henry.Agoro@bdc.ca,2021-05-19 21:55:59.087,bdc-sqlusr-d-dlake-dbrick-ads001,38
